SPECTRUM DATA FILE
SpectrumCount:	10
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	input1_2	input1_1	input1_0	input0_9	input0_8	input0_7	input0_6	input0_5	input0_4	input0_3
Date:	2022-02-16T14:35:49.0865719+00:00	2022-02-16T14:37:41.3886999+00:00	2022-02-16T14:39:40.1929287+00:00	2022-02-16T14:40:46.5946066+00:00	2022-02-16T14:41:45.1953320+00:00	2022-02-16T14:42:53.9984644+00:00	2022-02-16T14:43:47.8998228+00:00	2022-02-16T14:44:49.8006079+00:00	2022-02-16T14:46:07.6025769+00:00	2022-02-16T14:47:17.8047664+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	5	5	5	5	5	5	5	5	5	5
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.1333683	0.122907	0.1094962	0.09269594	0.0801761	0.06888603	0.06179233	0.05199446	0.04075538	0.0296274
Temperature:	23.31226	23.31226	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.31226
DiagramColor:	16711680	200	49152	16711935	42495	12632064	3368611	53970	65280	255
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10
181.1781	-10.45205	-11.70222	-15.82942	-2.899943	-8.962259	2.903495	13.30787	1.443082	-21.44087	-1.879115
181.5213	-21.75054	-27.26266	-17.6323	8.565446	-24.61089	9.757642	6.248014	6.320517	-35.30134	3.458484
181.8645	-9.613668	-28.5649	-19.53313	16.38216	-12.93296	7.062942	-2.79163	10.4423	-28.97272	-17.43436
182.2076	-6.190494	-13.52788	-6.929696	15.55638	-0.4208113	4.217372	-9.577686	12.82485	-18.79426	-32.02208
182.5508	-3.055662	9.846745	7.579767	7.074784	-13.62228	-8.593761	-7.041943	8.8743	-12.90246	0.08712343
182.8939	-11.31011	-1.849394	14.48322	-9.986768	-26.12049	-6.420051	-3.953772	2.40275	-17.05515	10.47945
183.2371	-1.248552	1.272359	8.913484	-11.89064	-22.63383	-3.660779	-0.4939947	1.486743	-11.67691	4.286286
183.5802	-4.785561	-8.597227	6.656198	2.245569	-8.701841	3.734538	-9.691042	-7.946572	-16.33777	-10.45745
183.9234	-12.17589	-16.33978	-6.863246	-12.38481	-9.557824	-10.73339	-26.99349	-22.44963	-27.17717	-6.017355
184.2665	91.59562	90.49643	105.3794	87.05162	90.89547	103.6231	89.01025	98.08225	94.54403	106.7376
184.6096	131.966	136.5439	142.9493	119.143	117.1596	130.2483	127.1584	143.9046	128.4045	149.5258
